Iteration 01 | Alignment error: 0.000e+00
Iteration 02 | Alignment error: 0.000e+00
Iteration 03 | Alignment error: 0.000e+00
Iteration 04 | Alignment error: 0.000e+00
Iteration 05 | Alignment error: 0.000e+00
Iteration 06 | Alignment error: 0.000e+00
Iteration 07 | Alignment error: 0.000e+00
Iteration 08 | Alignment error: 0.000e+00
Iteration 09 | Alignment error: 0.000e+00
Iteration 10 | Alignment error: 0.000e+00
Iteration 11 | Alignment error: 0.000e+00
Iteration 12 | Alignment error: 0.000e+00
Iteration 13 | Alignment error: 0.000e+00
Iteration 14 | Alignment error: 0.000e+00
Iteration 15 | Alignment error: 0.000e+00
Iteration 16 | Alignment error: 0.000e+00
Iteration 17 | Alignment error: 0.000e+00
Iteration 18 | Alignment error: 0.000e+00
Iteration 19 | Alignment error: 0.000e+00
Iteration 20 | Alignment error: 0.000e+00
Iteration 21 | Alignment error: 0.000e+00
Iteration 22 | Alignment error: 0.000e+00
Iteration 23 | Alignment error: 0.000e+00
Iteration 24 | Alignment error: 0.000e+00
Iteration 25 | Alignment error: 0.000e+00
Iteration 26 | Alignment error: 0.000e+00
Iteration 27 | Alignment error: 0.000e+00
Iteration 28 | Alignment error: 0.000e+00
Iteration 29 | Alignment error: 0.000e+00
Iteration 30 | Alignment error: 0.000e+00
Iteration 31 | Alignment error: 0.000e+00
Iteration 32 | Alignment error: 0.000e+00
Iteration 33 | Alignment error: 0.000e+00
Iteration 34 | Alignment error: 0.000e+00
Iteration 35 | Alignment error: 0.000e+00
Iteration 36 | Alignment error: 0.000e+00
Iteration 37 | Alignment error: 0.000e+00
Iteration 38 | Alignment error: 0.000e+00
Iteration 39 | Alignment error: 0.000e+00
Iteration 40 | Alignment error: 0.000e+00
Iteration 41 | Alignment error: 0.000e+00
Iteration 42 | Alignment error: 0.000e+00
Iteration 43 | Alignment error: 0.000e+00
Iteration 44 | Alignment error: 0.000e+00
Iteration 45 | Alignment error: 0.000e+00
Iteration 46 | Alignment error: 0.000e+00
Iteration 47 | Alignment error: 0.000e+00
Iteration 48 | Alignment error: 0.000e+00
Iteration 49 | Alignment error: 0.000e+00
Iteration 50 | Alignment error: 0.000e+00
✅ RL SURVIVES: no alignment drift under iterated probabilistic reconstruction.
