conda activate mgmt_chain
(base) dswanagon@Davids-Laptop-7 ~ % conda activate mgmt_chain
(mgmt_chain) dswanagon@Davids-Laptop-7 ~ % python "/Users/dswanagon/Relational Lysis Github/8 - Shannon Limit/exp_shannon_1_Ingestion.py" \
    --mode A \ 
    --chunk_mb 50 \
    --log mode_b_log.csv


RELATIONAL LYSIS — PHASE 1 INGESTION
Mode: A
Chunk MB: 50
Log: mode_b_log.csv

Chunk      1 | Downloaded MB=      52.4 | RSS=   240.8 MB | Peak=   240.8 MB
Chunk      2 | Downloaded MB=     104.9 | RSS=   290.8 MB | Peak=   290.8 MB
Chunk      3 | Downloaded MB=     157.3 | RSS=   340.8 MB | Peak=   340.8 MB
Chunk      4 | Downloaded MB=     209.7 | RSS=   390.8 MB | Peak=   390.8 MB
Chunk      5 | Downloaded MB=     262.1 | RSS=   440.8 MB | Peak=   440.8 MB
Chunk      6 | Downloaded MB=     314.6 | RSS=   490.8 MB | Peak=   490.8 MB
Chunk      7 | Downloaded MB=     367.0 | RSS=   540.8 MB | Peak=   540.8 MB
Chunk      8 | Downloaded MB=     419.4 | RSS=   590.8 MB | Peak=   590.8 MB
Chunk      9 | Downloaded MB=     471.9 | RSS=   640.8 MB | Peak=   640.8 MB
Chunk     10 | Downloaded MB=     524.3 | RSS=   690.8 MB | Peak=   690.8 MB
Chunk     11 | Downloaded MB=     576.7 | RSS=   740.8 MB | Peak=   740.8 MB
Chunk     12 | Downloaded MB=     629.1 | RSS=   790.8 MB | Peak=   790.8 MB
Chunk     13 | Downloaded MB=     681.6 | RSS=   840.8 MB | Peak=   840.8 MB
Chunk     14 | Downloaded MB=     734.0 | RSS=   890.8 MB | Peak=   890.8 MB
Chunk     15 | Downloaded MB=     786.4 | RSS=   940.8 MB | Peak=   940.8 MB
Chunk     16 | Downloaded MB=     838.9 | RSS=   990.8 MB | Peak=   990.8 MB
Chunk     17 | Downloaded MB=     891.3 | RSS=  1040.8 MB | Peak=  1040.8 MB
Chunk     18 | Downloaded MB=     943.7 | RSS=  1089.0 MB | Peak=  1089.0 MB
Chunk     19 | Downloaded MB=     996.1 | RSS=  1052.7 MB | Peak=  1089.0 MB
Chunk     20 | Downloaded MB=    1048.6 | RSS=   770.9 MB | Peak=  1089.0 MB
Chunk     21 | Downloaded MB=    1101.0 | RSS=   821.0 MB | Peak=  1089.0 MB
Chunk     22 | Downloaded MB=    1153.4 | RSS=   871.0 MB | Peak=  1089.0 MB
Chunk     23 | Downloaded MB=    1205.9 | RSS=   921.0 MB | Peak=  1089.0 MB
Chunk     24 | Downloaded MB=    1258.3 | RSS=   969.1 MB | Peak=  1089.0 MB
Chunk     25 | Downloaded MB=    1310.7 | RSS=  1019.1 MB | Peak=  1089.0 MB
Chunk     26 | Downloaded MB=    1363.1 | RSS=  1069.1 MB | Peak=  1089.0 MB
Chunk     27 | Downloaded MB=    1415.6 | RSS=  1119.1 MB | Peak=  1119.1 MB
Chunk     28 | Downloaded MB=    1468.0 | RSS=  1169.1 MB | Peak=  1169.1 MB
Chunk     29 | Downloaded MB=    1520.4 | RSS=  1219.1 MB | Peak=  1219.1 MB
Chunk     30 | Downloaded MB=    1572.9 | RSS=  1269.1 MB | Peak=  1269.1 MB
Chunk     31 | Downloaded MB=    1625.3 | RSS=  1311.2 MB | Peak=  1311.2 MB
Chunk     32 | Downloaded MB=    1677.7 | RSS=  1359.2 MB | Peak=  1359.2 MB
Chunk     33 | Downloaded MB=    1730.2 | RSS=  1408.9 MB | Peak=  1408.9 MB
Chunk     34 | Downloaded MB=    1782.6 | RSS=  1458.9 MB | Peak=  1458.9 MB
Chunk     35 | Downloaded MB=    1835.0 | RSS=  1508.9 MB | Peak=  1508.9 MB
Chunk     36 | Downloaded MB=    1887.4 | RSS=  1554.8 MB | Peak=  1554.8 MB
Chunk     37 | Downloaded MB=    1939.9 | RSS=  1604.8 MB | Peak=  1604.8 MB
Chunk     38 | Downloaded MB=    1992.3 | RSS=  1654.6 MB | Peak=  1654.6 MB
Chunk     39 | Downloaded MB=    2044.7 | RSS=  1704.5 MB | Peak=  1704.5 MB
Chunk     40 | Downloaded MB=    2097.2 | RSS=  1754.5 MB | Peak=  1754.5 MB
Chunk     41 | Downloaded MB=    2149.6 | RSS=  1804.5 MB | Peak=  1804.5 MB
Chunk     42 | Downloaded MB=    2202.0 | RSS=  1854.5 MB | Peak=  1854.5 MB
Chunk     43 | Downloaded MB=    2254.4 | RSS=  1904.5 MB | Peak=  1904.5 MB
Chunk     44 | Downloaded MB=    2306.9 | RSS=  1954.5 MB | Peak=  1954.5 MB
Chunk     45 | Downloaded MB=    2359.3 | RSS=  2004.5 MB | Peak=  2004.5 MB
Chunk     46 | Downloaded MB=    2411.7 | RSS=  2048.3 MB | Peak=  2048.3 MB
Chunk     47 | Downloaded MB=    2464.2 | RSS=  2095.1 MB | Peak=  2095.1 MB
Chunk     48 | Downloaded MB=    2516.6 | RSS=  2142.4 MB | Peak=  2142.4 MB
Chunk     49 | Downloaded MB=    2569.0 | RSS=  2190.0 MB | Peak=  2190.0 MB
Chunk     50 | Downloaded MB=    2621.4 | RSS=  2235.2 MB | Peak=  2235.2 MB
Chunk     51 | Downloaded MB=    2673.9 | RSS=  2285.2 MB | Peak=  2285.2 MB
Chunk     52 | Downloaded MB=    2726.3 | RSS=  2335.2 MB | Peak=  2335.2 MB
Chunk     53 | Downloaded MB=    2778.7 | RSS=  2382.9 MB | Peak=  2382.9 MB
Chunk     54 | Downloaded MB=    2831.2 | RSS=  2432.9 MB | Peak=  2432.9 MB
Chunk     55 | Downloaded MB=    2883.6 | RSS=  2482.3 MB | Peak=  2482.3 MB
Chunk     56 | Downloaded MB=    2936.0 | RSS=  2532.3 MB | Peak=  2532.3 MB
Chunk     57 | Downloaded MB=    2988.4 | RSS=  2582.3 MB | Peak=  2582.3 MB
Chunk     58 | Downloaded MB=    3040.9 | RSS=  2628.8 MB | Peak=  2628.8 MB
Chunk     59 | Downloaded MB=    3093.3 | RSS=  2678.8 MB | Peak=  2678.8 MB
Chunk     60 | Downloaded MB=    3145.7 | RSS=  2728.3 MB | Peak=  2728.3 MB
Chunk     61 | Downloaded MB=    3198.2 | RSS=  2778.3 MB | Peak=  2778.3 MB
Chunk     62 | Downloaded MB=    3250.6 | RSS=  2828.3 MB | Peak=  2828.3 MB
Chunk     63 | Downloaded MB=    3303.0 | RSS=  2878.3 MB | Peak=  2878.3 MB
Chunk     64 | Downloaded MB=    3355.4 | RSS=  2832.7 MB | Peak=  2878.3 MB
Chunk     65 | Downloaded MB=    3407.9 | RSS=  2882.8 MB | Peak=  2882.8 MB
Chunk     66 | Downloaded MB=    3460.3 | RSS=  2866.4 MB | Peak=  2882.8 MB
Chunk     67 | Downloaded MB=    3512.7 | RSS=  2869.0 MB | Peak=  2882.8 MB
Chunk     68 | Downloaded MB=    3565.2 | RSS=  2867.7 MB | Peak=  2882.8 MB
Chunk     69 | Downloaded MB=    3617.6 | RSS=  2843.1 MB | Peak=  2882.8 MB
Chunk     70 | Downloaded MB=    3670.0 | RSS=  2818.5 MB | Peak=  2882.8 MB
Chunk     71 | Downloaded MB=    3722.4 | RSS=  2868.6 MB | Peak=  2882.8 MB
Chunk     72 | Downloaded MB=    3774.9 | RSS=  2828.8 MB | Peak=  2882.8 MB
Chunk     73 | Downloaded MB=    3827.3 | RSS=  2835.4 MB | Peak=  2882.8 MB
Chunk     74 | Downloaded MB=    3879.7 | RSS=  2834.2 MB | Peak=  2882.8 MB
Chunk     75 | Downloaded MB=    3932.2 | RSS=  2812.5 MB | Peak=  2882.8 MB
Chunk     76 | Downloaded MB=    3984.6 | RSS=  2846.6 MB | Peak=  2882.8 MB
Chunk     77 | Downloaded MB=    4037.0 | RSS=  2824.2 MB | Peak=  2882.8 MB
Chunk     78 | Downloaded MB=    4089.4 | RSS=  2823.8 MB | Peak=  2882.8 MB
Chunk     79 | Downloaded MB=    4141.9 | RSS=  2797.5 MB | Peak=  2882.8 MB
Chunk     80 | Downloaded MB=    4194.3 | RSS=  2778.5 MB | Peak=  2882.8 MB
Chunk     81 | Downloaded MB=    4246.7 | RSS=  2786.3 MB | Peak=  2882.8 MB
Chunk     82 | Downloaded MB=    4299.2 | RSS=  2755.0 MB | Peak=  2882.8 MB
Chunk     83 | Downloaded MB=    4351.6 | RSS=  2754.9 MB | Peak=  2882.8 MB
Chunk     84 | Downloaded MB=    4404.0 | RSS=  2750.5 MB | Peak=  2882.8 MB
Chunk     85 | Downloaded MB=    4456.4 | RSS=  2750.6 MB | Peak=  2882.8 MB
Chunk     86 | Downloaded MB=    4508.9 | RSS=  2753.0 MB | Peak=  2882.8 MB
Chunk     87 | Downloaded MB=    4561.3 | RSS=  2715.8 MB | Peak=  2882.8 MB
Chunk     88 | Downloaded MB=    4613.7 | RSS=  2761.4 MB | Peak=  2882.8 MB
Chunk     89 | Downloaded MB=    4666.2 | RSS=  2790.1 MB | Peak=  2882.8 MB
Chunk     90 | Downloaded MB=    4718.6 | RSS=  2797.6 MB | Peak=  2882.8 MB
Chunk     91 | Downloaded MB=    4771.0 | RSS=  2813.7 MB | Peak=  2882.8 MB
Chunk     92 | Downloaded MB=    4823.4 | RSS=  2811.5 MB | Peak=  2882.8 MB
Chunk     93 | Downloaded MB=    4875.9 | RSS=  2810.1 MB | Peak=  2882.8 MB
Chunk     94 | Downloaded MB=    4928.3 | RSS=  2757.6 MB | Peak=  2882.8 MB
Chunk     95 | Downloaded MB=    4980.7 | RSS=  2759.1 MB | Peak=  2882.8 MB
Chunk     96 | Downloaded MB=    5033.2 | RSS=  2651.0 MB | Peak=  2882.8 MB
Chunk     97 | Downloaded MB=    5085.6 | RSS=  2688.2 MB | Peak=  2882.8 MB
Chunk     98 | Downloaded MB=    5138.0 | RSS=  2698.8 MB | Peak=  2882.8 MB
Chunk     99 | Downloaded MB=    5190.5 | RSS=  2622.6 MB | Peak=  2882.8 MB
Chunk    100 | Downloaded MB=    5242.9 | RSS=  2638.7 MB | Peak=  2882.8 MB
Chunk    101 | Downloaded MB=    5295.3 | RSS=  2643.4 MB | Peak=  2882.8 MB
Chunk    102 | Downloaded MB=    5347.7 | RSS=  2615.4 MB | Peak=  2882.8 MB
Chunk    103 | Downloaded MB=    5400.2 | RSS=  2586.0 MB | Peak=  2882.8 MB
Chunk    104 | Downloaded MB=    5452.6 | RSS=  2523.0 MB | Peak=  2882.8 MB
Chunk    105 | Downloaded MB=    5505.0 | RSS=  2331.9 MB | Peak=  2882.8 MB
Chunk    106 | Downloaded MB=    5557.5 | RSS=  2381.9 MB | Peak=  2882.8 MB
Chunk    107 | Downloaded MB=    5609.9 | RSS=  2431.9 MB | Peak=  2882.8 MB
Chunk    108 | Downloaded MB=    5662.3 | RSS=  2422.0 MB | Peak=  2882.8 MB
Chunk    109 | Downloaded MB=    5714.7 | RSS=  2444.1 MB | Peak=  2882.8 MB
Chunk    110 | Downloaded MB=    5767.2 | RSS=  2433.5 MB | Peak=  2882.8 MB
Chunk    111 | Downloaded MB=    5819.6 | RSS=  2451.2 MB | Peak=  2882.8 MB
Chunk    112 | Downloaded MB=    5872.0 | RSS=  2441.8 MB | Peak=  2882.8 MB
Chunk    113 | Downloaded MB=    5924.5 | RSS=  2416.0 MB | Peak=  2882.8 MB
Chunk    114 | Downloaded MB=    5976.9 | RSS=  2430.9 MB | Peak=  2882.8 MB
Chunk    115 | Downloaded MB=    6029.3 | RSS=  2461.2 MB | Peak=  2882.8 MB
Chunk    116 | Downloaded MB=    6081.7 | RSS=  2424.2 MB | Peak=  2882.8 MB
Chunk    117 | Downloaded MB=    6134.2 | RSS=  2452.2 MB | Peak=  2882.8 MB
